["Sensor Read", "DAY", "Time", "Sensor", "Sensor Value"],
["Sensor Read 11751", 0, ":00:00:00", "SLIN", 0],
["Sensor Read 11752", 0, ":00:00:00", "SATM", 26],
["Sensor Read 11753", 0, ":18:00:00", "SATM", 23],
["Sensor Read 11754", 1, ":00:00:00", "SATM", 26],
["Sensor Read 11755", 1, ":18:00:00", "SATM", 23],
["Sensor Read 11756", 2, ":00:00:00", "SATM", 26],
["Sensor Read 11757", 2, ":18:00:00", "SATM", 23],
["Sensor Read 11758", 3, ":00:00:00", "SATM", 26],
["Sensor Read 11759", 3, ":18:00:00", "SATM", 23],
["Sensor Read 11760", 4, ":00:00:00", "SLIN", 100000],
["Sensor Read 11761", 4, ":00:00:00", "SATM", 26],
["Sensor Read 11762", 4, ":00:00:00", "SAHU", 50],
["Sensor Read 11763", 4, ":18:00:00", "SLIN", 0],
["Sensor Read 11764", 4, ":18:00:00", "SATM", 23],
["Sensor Read 11765", 5, ":00:00:00", "SLIN", 100000],
["Sensor Read 11766", 5, ":00:00:00", "SATM", 26],
["Sensor Read 11767", 5, ":18:00:00", "SLIN", 0],
["Sensor Read 11768", 5, ":18:00:00", "SATM", 23],
["Sensor Read 11769", 6, ":00:00:00", "SLIN", 100000],
["Sensor Read 11770", 6, ":00:00:00", "SATM", 26],
["Sensor Read 11771", 6, ":18:00:00", "SLIN", 0],
["Sensor Read 11772", 6, ":18:00:00", "SATM", 23],
["Sensor Read 11773", 7, ":00:00:00", "SLIN", 100000],
["Sensor Read 11774", 7, ":00:00:00", "SATM", 26],
["Sensor Read 11775", 7, ":18:00:00", "SLIN", 0],
["Sensor Read 11776", 7, ":18:00:00", "SATM", 23],
["Sensor Read 11777", 8, ":00:00:00", "SLIN", 100000],
["Sensor Read 11778", 8, ":00:00:00", "SATM", 26],
["Sensor Read 11779", 8, ":18:00:00", "SLIN", 0],
["Sensor Read 11780", 8, ":18:00:00", "SATM", 23],
["Sensor Read 11781", 9, ":00:00:00", "SLIN", 100000],
["Sensor Read 11782", 9, ":00:00:00", "SATM", 26],
["Sensor Read 11783", 9, ":18:00:00", "SLIN", 0],
["Sensor Read 11784", 9, ":18:00:00", "SATM", 23],
["Sensor Read 11785", 10, ":00:00:00", "SLIN", 100000],
["Sensor Read 11786", 10, ":00:00:00", "SATM", 26],
["Sensor Read 11787", 10, ":18:00:00", "SLIN", 0],
["Sensor Read 11788", 10, ":18:00:00", "SATM", 23],
["Sensor Read 11789", 11, ":00:00:00", "SLIN", 100000],
["Sensor Read 11790", 11, ":00:00:00", "SATM", 26],
["Sensor Read 11791", 11, ":18:00:00", "SLIN", 0],
